CC,sgpa
1CK,6
1CK,6.75
1CK,6.17
1CK,5.25
1CK,4.42
1CK,2.17
1CK,6.42
1CK,2.75
1CK,2.83
1CK,0.92
1CK,7.33
1CK,6.75
1CK,3.58
1CK,4.25
1CK,7.08
1CK,4.58
1CK,4.58
1CK,5.67
1CK,6.92
1CK,4.92
1CK,4
1CK,5.17
1CK,4
1CK,5.83
1CK,6.25
1CK,6
1CK,2.67
1CK,4.83
1CK,5.33
1CK,9
1CK,4.92
1CK,7.83
1CK,4.08
1CK,4.75
1CK,4.42
1CK,0.92
1CK,0.83
1CK,6.83
1CK,4.92
1CK,5.42
1CK,4.08
1CK,0.75
1CK,5.92
1CK,8
1CK,5.33
1CK,3.83
1CK,4.17
1CK,2.17
1CK,4.92
1CK,3.67
1CK,4.08
1CK,6.17
1CK,6.17
1CK,7
1CK,8.92
1CK,7.08
1CK,4.42
1CK,6.42
1CR,8.33
1CR,9
1CR,2.58
1CR,8.33
1CR,7.25
1CR,4.83
1CR,6
1CR,7.08
1CR,7.33
1CR,7.42
1CR,9.33
1CR,8.83
1CR,7.92
1CR,4.42
1CR,6.67
1CR,8
1CR,8.25
1CR,7.58
1CR,8.17
1CR,9.83
1CR,7.67
1CR,9.17
1CR,5.83
1CR,7.92
1CR,7.92
1CR,4.42
1CR,6.67
1CR,8.33
1CR,9.08
1CR,9.17
1CR,8.25
1CR,9.17
1CR,9.17
1CR,8.33
1CR,9.08
1CR,5.67
1CR,8.42
1CR,4.92
1CR,7.83
1CR,8.83
1CR,7.75
1CR,7.75
1CR,7.17
1CR,7.25
1CR,6.42
1CR,7.17
1CR,7.67
1CR,5.67
1CR,6.67
1CR,6.92
1CR,9.33
1CR,7.33
1CR,6
1CR,8.42
1CR,7.75
1CR,7.33
1CR,9.17
1CR,6.5
1CR,8.92
1CR,8.58
1CR,8.5
1CR,8.33
1CR,8.75
1CR,8.75
1CR,9.25
1CR,8.25
1CR,8.42
1CR,8.92
1CR,7.75
1CR,4
1CR,7.67
1CR,9.17
1CR,8.5
1CR,7.83
1CR,6.33
1CR,9
1CR,4.33
1CR,7.5
1CR,8.58
1CR,9.67
1CR,8.25
1CR,6.58
1CR,5.17
1CR,3.08
1CR,5.17
1CR,9.5
1CR,6.5
1CR,9
1CR,9
1CR,4.33
1CR,8.67
1CR,5.17
1CR,8.67
1CR,8.08
1CR,7.75
1CR,5.58
1CR,8.17
1CR,9.33
1CR,8.58
1CR,8.83
1CR,7
1CR,8.67
1CR,9.17
1CR,7.58
1CR,8
1CR,5.58
1CR,9.83
1CR,4.75
1CR,8.08
1CR,6.75
1CR,8.83
1CR,7.83
1CR,5.5
1CR,6.33
1CR,8.67
1CR,7.42
1CR,7.42
1CR,6.5
1CR,9
1CR,7
1CR,6.5
1CR,9
1CR,9.08
