CC,USN,sgpa
1AR,1AR16CS009,4
1AR,1AR16CS010,4.83
1AR,1AR16CS011,5.25
1AR,1AR16CS012,5.42
1AR,1AR16CS014,8.33
1AR,1AR16CS015,7.83
1AT,1AT16CS001,9.17
1AT,1AT16CS002,5.58
1AT,1AT16CS003,3.75
1AT,1AT16CS004,7.17
1AT,1AT16CS005,5.83
1AT,1AT16CS006,5.83
1AT,1AT16CS007,5
1AT,1AT16CS008,6.5
1AT,1AT16CS009,7.25
1AT,1AT16CS010,8.25
1AT,1AT16CS011,8.25
1AT,1AT16CS012,3.08
1AT,1AT16CS013,5.75
1AT,1AT16CS014,3.75
1AT,1AT16CS015,6.08
1AT,1AT16CS016,6.67
1AT,1AT16CS017,6.67
1AT,1AT16CS018,6.92
1AT,1AT16CS019,9.5
1AT,1AT16CS021,8
1AT,1AT16CS022,6.92
1AT,1AT16CS023,8.17
1AT,1AT16CS024,9.08
1AT,1AT16CS025,8.67
1AT,1AT16CS026,6.17
1AT,1AT16CS027,8.67
1AT,1AT16CS028,6.58
1AT,1AT16CS029,7.25
1AT,1AT16CS030,4.25
1AT,1AT16CS031,5.5
1AT,1AT16CS032,6.08
1AT,1AT16CS033,3.17
1AT,1AT16CS034,5.5
1AT,1AT16CS035,7.83
1AT,1AT16CS036,5.08
1AT,1AT16CS037,8
1AT,1AT16CS038,9.5
1AT,1AT16CS039,8.25
1AT,1AT16CS040,6.75
1AT,1AT16CS041,7.67
1AT,1AT16CS042,7.75
1AT,1AT16CS043,9.33
1AT,1AT16CS044,8.17
1AT,1AT16CS045,7.92
1AT,1AT16CS046,8.33
1AT,1AT16CS047,7.08
1AT,1AT16CS048,5.67
1AT,1AT16CS049,8.67
1AT,1AT16CS050,8.5
1AT,1AT16CS051,6.33
1AT,1AT16CS052,8.17
1AT,1AT16CS053,7.08
1AT,1AT16CS054,7.92
1AT,1AT16CS055,5.83
1AT,1AT16CS056,6.33
1AT,1AT16CS057,7.75
1AT,1AT16CS058,9.5
1AT,1AT16CS059,6.33
1AT,1AT16CS060,6.33
1AT,1AT16CS061,6.58
1AT,1AT16CS062,7.08
1AT,1AT16CS063,4.25
1AT,1AT16CS064,6.92
1AT,1AT16CS065,7.67
1AT,1AT16CS066,3.17
1AT,1AT16CS067,9.17
1AT,1AT16CS068,7.42
1AT,1AT16CS069,7
1AT,1AT16CS070,4.25
1AT,1AT16CS071,8
1AT,1AT16CS072,2.92
1AT,1AT16CS073,7.67
1AT,1AT16CS074,6.92
1AT,1AT16CS075,8.33
1AT,1AT16CS076,3.5
1AT,1AT16CS077,6.5
1AT,1AT16CS078,6.08
1AT,1AT16CS080,6.75
1AT,1AT16CS081,8.5
1AT,1AT16CS082,8.08
1AT,1AT16CS083,8.08
1AT,1AT16CS084,7.5
1AT,1AT16CS085,5.17
1AT,1AT16CS086,8.25
1AT,1AT16CS087,9
1AT,1AT16CS088,7.42
1AT,1AT16CS089,9.5
1AT,1AT16CS090,8.83
1AT,1AT16CS091,6.42
1AT,1AT16CS092,3.83
1AT,1AT16CS093,6.58
1AT,1AT16CS094,8.83
1AT,1AT16CS095,7.42
1AT,1AT16CS096,8.58
1AT,1AT16CS097,2.67
1AT,1AT16CS098,7.67
1AT,1AT16CS099,5.17
1AT,1AT16CS100,8.83
1AT,1AT16CS101,3.33
1AT,1AT16CS102,3.75
1AT,1AT16CS103,5.83
1AT,1AT16CS104,4.92
1AT,1AT16CS105,8.83
1AT,1AT16CS106,6.25
1AT,1AT16CS107,3.25
1AT,1AT16CS108,9.33
1AT,1AT16CS109,4.17
1AT,1AT16CS110,8.5
1AT,1AT16CS111,5.58
1AT,1AT16CS112,5.75
1AT,1AT16CS113,7.5
1AT,1AT16CS114,8
1AT,1AT16CS115,8.83
1AT,1AT16CS116,9.67
1AT,1AT16CS117,7.5
1AT,1AT16CS118,4.83
1AT,1AT16CS119,7.92
1AT,1AT16CS120,6.92
1AT,1AT16CS121,7
1AT,1AT16CS122,6.25
1AT,1AT16CS123,2.42
1AT,1AT16CS124,3.17
1AT,1AT16CS125,5.08
1AU,1AU16CS002,4.83
1AU,1AU16CS003,5.5
1AU,1AU16CS004,7.75
1AU,1AU16CS005,6.67
1AU,1AU16CS006,8.83
1AU,1AU16CS007,4.42
1AU,1AU16CS008,7
1AU,1AU16CS009,7
1AU,1AU16CS010,8
1AU,1AU16CS011,5
1AU,1AU16CS012,5.83
1AU,1AU16CS013,7.83
1AU,1AU16CS014,4.42
1AU,1AU16CS015,7.42
1AU,1AU16CS016,6.33
1AU,1AU16CS017,7.83
1AU,1AU16CS018,6.5
1AU,1AU16CS019,8.5
1AU,1AU16CS020,3.75
1AU,1AU16CS021,6.17
1AU,1AU16CS022,4.75
1AU,1AU16CS023,5.75
1AU,1AU16CS024,4.58
1AU,1AU16CS025,6.08
1AU,1AU16CS026,5.67
1AU,1AU16CS027,5.33
1AU,1AU16CS028,6.08
1AU,1AU16CS029,8
1AU,1AU16CS030,7.33
1AU,1AU16CS031,5.42
1AU,1AU16CS032,5.92
1AU,1AU16CS033,1.92
1AU,1AU16CS034,4.58
1AU,1AU16CS035,1.83
1AU,1AU16CS036,6.25
1AU,1AU16CS037,6.83
1AU,1AU16CS038,6.75
1AU,1AU16CS039,6.75
1AU,1AU16CS040,3.33
1AU,1AU16CS041,7.92
1AU,1AU16CS042,7
1AU,1AU16CS043,7
1AU,1AU16CS044,5.83
1AU,1AU16CS045,3.75
1AU,1AU16CS046,3.67
1AU,1AU16CS047,3.5
1AY,1AY16CS001,6.42
1AY,1AY16CS002,6.83
1AY,1AY16CS003,3.92
1AY,1AY16CS004,6.17
1AY,1AY16CS005,4.5
1AY,1AY16CS006,7.67
1AY,1AY16CS007,8.08
1AY,1AY16CS008,7.42
1AY,1AY16CS009,7.33
1AY,1AY16CS010,8.92
1AY,1AY16CS011,7.17
1AY,1AY16CS012,8.58
1AY,1AY16CS013,8.92
1AY,1AY16CS014,8.83
1AY,1AY16CS015,8.92
1AY,1AY16CS016,8.92
1AY,1AY16CS017,8.17
1AY,1AY16CS018,9.5
1AY,1AY16CS019,8.42
1AY,1AY16CS020,7.92
1AY,1AY16CS021,8.83
1AY,1AY16CS022,0.92
1AY,1AY16CS023,8.92
1AY,1AY16CS024,4.42
1AY,1AY16CS025,8.67
1AY,1AY16CS026,7.5
1AY,1AY16CS027,1.83
1AY,1AY16CS028,6.58
1AY,1AY16CS029,5.75
1AY,1AY16CS030,4.75
1AY,1AY16CS031,8.58
1AY,1AY16CS032,6.83
1AY,1AY16CS033,8.08
1AY,1AY16CS034,3.08
1AY,1AY16CS035,9.17
1AY,1AY16CS036,7.33
1AY,1AY16CS037,7.75
1AY,1AY16CS038,5.83
1AY,1AY16CS039,7.67
1AY,1AY16CS040,5.33
1AY,1AY16CS041,9
1AY,1AY16CS042,8.83
1AY,1AY16CS043,8.5
1AY,1AY16CS044,4.08
1AY,1AY16CS045,6.75
1AY,1AY16CS047,5.92
1AY,1AY16CS048,8.25
1AY,1AY16CS049,5.92
1AY,1AY16CS050,8.67
1AY,1AY16CS051,7.5
1AY,1AY16CS052,3.92
1AY,1AY16CS053,6.17
1AY,1AY16CS054,8.5
1AY,1AY16CS055,1.67
1AY,1AY16CS056,7.67
1AY,1AY16CS057,3.83
1AY,1AY16CS059,7.67
1AY,1AY16CS060,2.67
1AY,1AY16CS061,9
1AY,1AY16CS062,3.92
1AY,1AY16CS064,2.75
1AY,1AY16CS065,7
1AY,1AY16CS066,8.5
1AY,1AY16CS067,7.58
1AY,1AY16CS068,4.33
1AY,1AY16CS070,4.33
1AY,1AY16CS071,4.83
1AY,1AY16CS072,8.25
1AY,1AY16CS073,5.17
1AY,1AY16CS074,8.92
1AY,1AY16CS075,4.75
1AY,1AY16CS076,4.83
1AY,1AY16CS077,3.58
1AY,1AY16CS078,8.42
1AY,1AY16CS079,5.83
1AY,1AY16CS080,8.33
1AY,1AY16CS081,9.5
1AY,1AY16CS082,3.83
1AY,1AY16CS083,7
1AY,1AY16CS084,9.25
1AY,1AY16CS085,8.42
1AY,1AY16CS086,8.08
1AY,1AY16CS089,8.67
1AY,1AY16CS090,7.33
1AY,1AY16CS091,4.83
1AY,1AY16CS092,8.42
1AY,1AY16CS093,6.58
1AY,1AY16CS094,6.17
1AY,1AY16CS095,2.92
1AY,1AY16CS096,8.67
1AY,1AY16CS097,8.92
1AY,1AY16CS098,1
1AY,1AY16CS099,7.83
1AY,1AY16CS100,8.33
1AY,1AY16CS101,7.83
1AY,1AY16CS102,8.83
1AY,1AY16CS103,8.25
1AY,1AY16CS104,9.5
1AY,1AY16CS105,8.5
1AY,1AY16CS106,8.17
1AY,1AY16CS107,9
1AY,1AY16CS108,5.25
1AY,1AY16CS110,3.92
1AY,1AY16CS111,7.58
1AY,1AY16CS112,8.08
1AY,1AY16CS113,7.83
1AY,1AY16CS114,6.33
1AY,1AY16CS115,2.5
1AY,1AY16CS116,5.67
1AY,1AY16CS117,5.67
1AY,1AY16CS118,7.67
1AY,1AY16CS119,1
1AY,1AY16CS120,5.75
1AY,1AY16CS121,7.67
1AY,1AY16CS122,6.5
1AY,1AY16CS123,5.08
1AY,1AY16CS124,7.17
1AY,1AY16CS126,6.75
1AY,1AY16CS127,7.58
1AY,1AY16CS128,6.75
1AY,1AY16CS131,3.42
1AY,1AY16CS132,4.5
1AY,1AY16CS133,3.33
1BC,1BC16CS002,6.83
1BC,1BC16CS003,5.08
1BC,1BC16CS004,1
1BC,1BC16CS005,5.42
1BC,1BC16CS006,0.42
1BC,1BC16CS007,3.5
1BC,1BC16CS008,6.83
1BC,1BC16CS009,2.5
